Z desejado,Alcance Mínimo (/√2) - Sem erros,Alcance Máximo (/√2) - Sem erros
0.0,0.12,0.37
0.01,0.12,0.38
0.02,0.12,0.38
0.03,0.12,0.38
0.04,0.12,0.39
0.05,0.12,0.39
0.06,0.12,0.39
0.07,0.12,0.39
0.08,0.12,0.39
0.09,0.12,0.4
0.10,0.12,0.4
0.11,0.12,0.4
0.12,0.12,0.4
0.13,0.12,0.4
0.14,0.12,0.4
0.15,0.12,0.4
0.16,0.12,0.4
0.17,0.12,0.4
0.18,0.12,0.4
0.19,0.12,0.4
0.2,0.12,0.4
0.21,0.12,0.41
0.22,0.12,0.41
0.23,0.12,0.41
0.24,0.12,0.4
0.25,0.12,0.4
0.26,0.12,0.4
0.27,0.12,0.4
0.28,0.12,0.4
0.29,0.12,0.4
0.3,0.12,0.4
0.31,0.12,0.4
0.32,0.12,0.4
0.33,0.12,0.4
0.34,0.12,0.4
0.35,0.12,0.4
0.36,0.12,0.39
0.37,0.12,0.39
0.38,0.12,0.39
0.39,0.12,0.39
0.4,0.01,0.38
0.41,0.01,0.38
0.42,0.01,0.38
0.43,0.01,0.38
0.44,0.01,0.37
0.45,0.01,0.37
0.46,0.01,0.37
0.47,0.01,0.36
0.48,0.01,0.36
0.49,0.01,0.36
0.5,0.01,0.35
0.51,0.01,0.35
0.52,0.01,0.35
0.53,0.01,0.34
0.54,0.01,0.34
0.55,0.01,0.33
0.56,0.01,0.33
0.57,0.01,0.32
0.58,0.01,0.32
0.59,0.01,0.31
0.6,0.02,0.3
0.61,0.02,0.3
0.62,0.03,0.29
0.63,0.04,0.28
0.64,0.05,0.27
0.65,0.05,0.27
0.66,0.07,0.25
0.67,0.08,0.24
0.68,0.09,0.23
0.69,0.11,0.21
