Z desejado,Alcance Mínimo (/√2) - Sem erros,Alcance Máximo (/√2) - Sem erros
0.05,0.19,0.42
0.06,0.19,0.42
0.07,0.19,0.43
0.08,0.18,0.43
0.09,0.18,0.43
0.10,0.18,0.43
0.11,0.18,0.44
0.12,0.18,0.44
0.13,0.18,0.44
0.14,0.18,0.44
0.15,0.18,0.44
0.16,0.18,0.45
0.17,0.18,0.45
0.18,0.18,0.45
0.19,0.18,0.45
0.20,0.18,0.45
0.21,0.18,0.45
0.22,0.18,0.45
0.23,0.18,0.45
0.24,0.18,0.45
0.25,0.18,0.46
0.26,0.18,0.46
0.27,0.18,0.46
0.28,0.18,0.46
0.29,0.18,0.46
0.30,0.18,0.46
0.31,0.17,0.46
0.32,0.17,0.46
0.33,0.17,0.46
0.34,0.17,0.45
0.35,0.17,0.45
0.36,0.16,0.45
0.37,0.16,0.45
0.38,0.16,0.45
0.39,0.15,0.45
0.40,0.15,0.45
0.41,0.14,0.45
0.42,0.13,0.45
0.43,0.12,0.44
0.44,0.11,0.44
0.45,0.01,0.44
0.46,0.01,0.44
0.47,0.01,0.44
0.48,0.01,0.43
0.49,0.01,0.43
0.50,0.01,0.43
0.51,0.01,0.43
0.52,0.01,0.42
0.53,0.01,0.42
0.54,0.01,0.42
0.55,0.01,0.41
0.56,0.01,0.41
0.57,0.01,0.41
0.58,0.01,0.40
0.59,0.01,0.40
0.60,0.01,0.39
0.61,0.01,0.39
0.62,0.01,0.38
0.63,0.01,0.38
0.64,0.01,0.37
0.65,0.01,0.37
0.66,0.01,0.36
0.67,0.01,0.36
0.68,0.01,0.35
0.69,0.01,0.34
0.70,0.01,0.34
